combined_child_rearing,sex,age_grp,educ,polint_rev,gen_trust_rev,predf,lower,upper,age
-3,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.18696578591242222,0.1665064369535213,0.20742513487132314,New Democracies
-2,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.17270611155424734,0.15971556819001317,0.1856966549184815,New Democracies
-1,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.15932088842465394,0.15169881593894494,0.16694296091036295,New Democracies
0,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.14678899126499823,0.13989365396874565,0.1536843285612508,New Democracies
1,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.13508443780166918,0.12486903254527393,0.14529984305806443,New Democracies
2,0.5903674589805976,4.537207252581214,3.659928432418859,2.223772707272613,0.21762716191205567,0.12417734147280769,0.10996435280472852,0.13839033014088686,New Democracies
-3,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.5512811939948813,0.5358168229946633,0.5667455649950993,Old Democracies
-2,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.5107682454009784,0.5006148753934028,0.5209216154085541,Old Democracies
-1,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.4701133442647912,0.4632177879258312,0.4770089006037512,Old Democracies
0,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.42985120696176965,0.42117280249691347,0.43852961142662583,Old Democracies
1,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.3904961407211531,0.3772145022992824,0.40377777914302376,Old Democracies
2,0.5256025902386378,4.629519762687405,3.9322860020140986,2.6203292082181906,0.551343004591816,0.3525164408212351,0.3343330739061863,0.37069980773628397,Old Democracies
